Waterbody Type,Segment ID,Waterbody Index Number (WIN),Name,Description,Basin,Segment Miles,6NYCRR Chapter X Part,Water Quality Class
Estuary,1701-0354,(MW6.3b) GB..GPB-122a-P652,Scallop Pond,entire pond,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0362,(MW8.6a) JB-250,Fresh Creek,entire creek/basin,Atlantic Ocean/Long Island Soun,,891,I
Estuary,1701-0363,(MW8.6a) JB-250a,Paerdegat Basin,entire basin,Atlantic Ocean/Long Island Soun,,891,I
Estuary,1701-0365,(MW6.3d) GB-SIS,"Shelter Island Sound, South, and tribs",Sound and selected tidal tribs south of Paradise Point,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0368,(MW6.3f) GB-SIS-NH,Northwest Harbor,"entire Harbor, as described below",Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0369,(MW6.3h) BIS-NB,Napeague Bay,"entire bay, as described below",Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0370,(MW6.3h) BIS-FPB,Fort Pond Bay,"entire bay, as described below",Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0372,(MW7.8)  AO-GSB-204 thru 216,"Tidal Tribs to Great South Bay, West",total area of selected tidal tribs to bay,Atlantic Ocean/Long Island Soun,,925,SC
Estuary,1701-0373,(MW8.3)  MDB-JI/JB,Jones Inlet/Jones Bay,"entire inlet/bay, as described below",Atlantic Ocean/Long Island Soun,,885,SA
Estuary,1701-0375,(MW7.6)  AO-GSB (portion 6),Nicoll Bay,"entire bay, as described below",Atlantic Ocean/Long Island Soun,,925,SA
Estuary,1701-0376,(MW7.8)  AO-GSB (portion 7),Great Cove,"entire cove, as described below",Atlantic Ocean/Long Island Soun,,925,SA
Estuary,1702-0002,(MW2.1)  ER-LI- 4,Newtown Creek and tidal tribs,entire tidal reach and tribs,Atlantic Ocean/Long Island Soun,,890,SD
Estuary,1702-0003,(MW3.2)  LIS- 2,"Hutchinson River, Lower, and tribs",reach and tribs from mouth to E.Colonial Ave (tidal),Atlantic Ocean/Long Island Soun,,935,SB
Estuary,1702-0004,(MW2.3)  ER-1,Harlem River,"entire river, from East River to Hudson River",Atlantic Ocean/Long Island Soun,,935,I
Estuary,1702-0006,(MW2.4)  ER-3,"Bronx River, Lower",river from mouth to East Tremont Avenue (tidal),Atlantic Ocean/Long Island Soun,,935,I
Estuary,1702-0007,(MW2.6)  LIS (portion 1a),Eastchester Bay,"entire bay, as described below",Atlantic Ocean/Long Island Soun,,935,SB
Estuary,1702-0010,(MW2.3)  ER (portion 2),"East River, Upper",river from Hells Gate to Whitestone Bridge in Queens,Atlantic Ocean/Long Island Soun,,935,I
Estuary,1702-0011,(MW2.1)  ER (portion 1),"East River, Lower",river from Battery to Hells Gate,Atlantic Ocean/Long Island Soun,,890,I
Estuary,1702-0012,(MW2.4)  ER-4,Westchester Creek,"entire tidal reach, incl Pugsley Cr",Atlantic Ocean/Long Island Soun,,935,I
Estuary,1702-0015,(MW5.4c) LIS-PJH (portion 1),"Port Jefferson Harbor, North, and tribs","portion of harbor, as described below",Atlantic Ocean/Long Island Soun,,925,SA
Estuary,1702-0016,(MW4.4a) LIS-OBH,Oyster Bay Harbor,entire bay,Atlantic Ocean/Long Island Soun,,885,SA
Estuary,1702-0019,(MW5.4d) LIS-  MSH,Mt Sinai Harbor and tidal tribs,entire harbor and tidal tribs,Atlantic Ocean/Long Island Soun,,925,SA
Estuary,1702-0020,(MW5.4e) LIS- 71,"Mattituck Inlet/Cr, Low, and tidal tribs",tidal portion of stream and tribs,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1702-0022,(MW4.3a) LIS-HH,"Hempstead Harbor, north, and tidal tribs","portion of bay, as described below",Atlantic Ocean/Long Island Soun,,885,SA
Estuary,1702-0023,(MW5.4a) LIS-SB,Smithtown Bay,"entire bay, as described below",Atlantic Ocean/Long Island Soun,,925,SA
Estuary,1702-0027,(MW2.6)  LIS (portion 1),"Long Island Sound, Western Portion",Sound fr Throgs Neck Br to line btw Premium/Hewlett Pts,Atlantic Ocean/Long Island Soun,,935,SB
Estuary,1702-0028,(MW4.1)  LIS (portion 3),"Long Island Sound, Nassau County Waters",Sound fr line btw Premium/Hewlett Pts to Nassau/Suffolk,Atlantic Ocean/Long Island Soun,,885,SA
Estuary,1702-0029,(MW2.5)  ER/LIS-LNB,Little Neck Bay,"entire bay, as described below",Atlantic Ocean/Long Island Soun,,935,SB
Estuary,1702-0032,(MW2.3)  ER (portion 3),"East River, Upper","river from Whitestone Br to Throgs Neck Br, Queens",Atlantic Ocean/Long Island Soun,,935,SB
Estuary,1702-0046,(MW5.4g) LIS-FI-WH,"West Harbor, Fishers Island","entire harbor, as described below",Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1702-0047,(MW5.4a) LIS-SB-SBH,Stony Brook Harbor and West Meadow Creek,entire harbor and tidal tribs,Atlantic Ocean/Long Island Soun,,925,SA
Estuary,1702-0091,(MW5.4c) LIS-PJH-CB,Conscience Bay and tidal tribs,entire bay,Atlantic Ocean/Long Island Soun,,925,SA
Estuary,1702-0098,(MW5.1)  LIS (portion 4),"Long Island Sound, Suffolk County, West",Sound fr Nassau/Suffolk Co line to Old Field Point,Atlantic Ocean/Long Island Soun,,925,SA
Estuary,1702-0115,(MW2.5)  ER-LI- 8 thru 15 (select),Minor Tribs to Upper East River,total area of selected tidal tribs to river,Atlantic Ocean/Long Island Soun,,935,I
Estuary,1702-0116,(MW3.1)  LIS (portion 2a),Larchmont Harbor,"entire harbor, as described below",Atlantic Ocean/Long Island Soun,,935,SB
Estuary,1702-0125,(MW3.3)  LIS (portion 2b),Mamaroneck Harbor,entire harbor,Atlantic Ocean/Long Island Soun,,935,SB
Estuary,1702-0126,(MW3.3)  LIS- 9,"Beaver Swamp Brook, Lower",reach from mouth to end of tidal portion,Atlantic Ocean/Long Island Soun,,935,SC
Estuary,1702-0141,(MW4.2b) LIS-MB (portion 2),"Manhasset Bay, and tidal tribs","portion of bay, as described below",Atlantic Ocean/Long Island Soun,,885,SB
Estuary,1702-0145,(MW4.2b) LIS-MB-P125,Mill Pond,entire tidal waterbody,Atlantic Ocean/Long Island Soun,,885,SC
Estuary,1702-0148,(MW4.3b) LIS-40/P145a,West Pond,entire tidal waterbody,Atlantic Ocean/Long Island Soun,,885,SC
Estuary,1702-0150,"(MW4.3b) LIS-42,43",Minor Tribs to Long Island Sound,total area of selected tidal tribs to sound,Atlantic Ocean/Long Island Soun,,885,SC
Estuary,1702-0227,(MW5.2a) LIS-HB-LH,Lloyd Harbor,entire harbor,Atlantic Ocean/Long Island Soun,,925,SA
Estuary,1702-0228,(MW5.2a) LIS-HB-HH,Huntington Harbor,entire harbor,Atlantic Ocean/Long Island Soun,,925,SA
Estuary,1702-0230,(MW5.2a) LIS-HB-NB-NH,Northport Harbor,entire harbor,Atlantic Ocean/Long Island Soun,,925,SA
Ponds,0201-0016,Pa-53-54-11- 5-P115,Cuba Lake,entire lake,Allegheny River,,801,B
Estuary,1702-0232,(MW5.2b) LIS- 58 thru 61,Tidal Tribs to Long Island Sound,total area of selected tidal tribs to sound,Atlantic Ocean/Long Island Soun,,925,SC
Estuary,1702-0242,(MW5.4c) LIS-PJH-SH,Setauket Harbor,entire harbor,Atlantic Ocean/Long Island Soun,,925,SA
Estuary,1702-0256,(MW5.2a) LIS-HB-NB,Northport Bay,"entire bay, as described below",Atlantic Ocean/Long Island Soun,,925,SA
Estuary,1702-0259,(MW2.6)  LIS (portion 1b),New Rochelle Harbor,"entire harbor, as described below",Atlantic Ocean/Long Island Soun,,935,SA
Estuary,1702-0262,(MW5.2a) LIS-HB-NB-DIH,Duck Island Harbor,entire harbor,Atlantic Ocean/Long Island Soun,,925,SA
Estuary,1702-0263,(MW4.3a) LIS-HH,"Hempstead Harbor, south, and tidal tribs","portion of bay, as described below",Atlantic Ocean/Long Island Soun,,885,SB
Ponds,0602-0017,SR- 44-14-60-P67,Lower/Upper Little York Lakes,total area of both lakes,Susquehanna River,,931,B
Estuary,1702-0264,(MW5.4g) LIS-FI,Fishers Island Sound,estuary waters surrounding Fishers Island,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1702-0265,(MW5.4c) LIS (portion 5),"Long Island Sound, Suffolk Co, Central",Sound from Old Field Point to Mattituck Inlet,Atlantic Ocean/Long Island Soun,,921,SA
Estuary,1701-0170,(MW6.1b) GB-SIS,"Shelter Island Sound, North, and tribs",Sound and selected tidal tribs north of Paradise Point,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1301-0006,H (portion 1),Hudson River (Class I),from Harlem River to mouth at Battery Park,Lower Hudson River,,864,I
Estuary,1301-0005,H (portion 2a),"Hudson River (Class SB), portion",from Riverdale (Westch/Bronx Co line) to Harlem River,Lower Hudson River,,864,SB
Estuary,1301-0003,H (portion 3),Hudson River (Class B),from Roseton/Chelsea to Bear Mountain Bridge,Lower Hudson River,,858,B
Estuary,1301-0001,H (portion 4),Hudson River (Class A),from Kingston to Roseton/Chelsea,Lower Hudson River,,858,A
Estuary,1301-0002,H (portion 5),Hudson River (Class C),from Troy Dam to south end of Houghtaling Island,Lower Hudson River,,858,C
Estuary,1701-0001,(MW8.5a) JB-248a,Shellbank Basin,entire basin,Atlantic Ocean/Long Island Soun,,891,I
Estuary,1701-0002,(MW1.2)  RB (portion 1),Raritan Bay (Class SA),"portion of bay, as described below",Atlantic Ocean/Long Island Soun,,890,SA
Estuary,1701-0008,(MW1.1)  LB/GB-253,Coney Island Creek,entire estuary/stream,Atlantic Ocean/Long Island Soun,,891,I
Estuary,1701-0009,(MW8.5a) JB-247,Bergen Basin,entire basin,Atlantic Ocean/Long Island Soun,,891,I
Estuary,1701-0010,(MW1.2)  SI (portion 1),Arthur Kill (Class I) and minor tribs,river from mouth to Outerbridge Crossing,Atlantic Ocean/Long Island Soun,,890,I
Estuary,1701-0152,(MW8.5a) JB-241a,Thurston Basin,entire basin,Atlantic Ocean/Long Island Soun,,891,I
Estuary,1701-0172,(MW6.1c) GB..LPB,Little Peconic Bay,"entire bay, as described below",Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0179,(MW1.1)  LB/GB,Lower New York Bay/Gravesend Bay,"entire bay, as described below",Atlantic Ocean/Long Island Soun,,890,I
Estuary,1701-0180,(MW1.2)  RB (portion 2),Raritan Bay (Class SB),"portion of bay, as described below",Atlantic Ocean/Long Island Soun,,890,SB
Estuary,1701-0182,(MW1.2)  SI (portion 2),Arthur Kill (Class SD) and minor tribs,river from Outerbridge Crossing to Newark Bay,Atlantic Ocean/Long Island Soun,,890,SD
Estuary,1701-0183,(MW1.2)  SI (portion 3),Newark Bay,"entire bay, within New York State",Atlantic Ocean/Long Island Soun,,890,SD
Estuary,1701-0184,(MW1.2)  SI (portion 4),Kill Van Kull,"entire river, within New York State",Atlantic Ocean/Long Island Soun,,890,SD
Estuary,1701-0185,(MW1.3)  UB-EB,Erie Basin,"entire basin, as described below",Atlantic Ocean/Long Island Soun,,890,SD
Estuary,1701-0187,(MW1.2)  SI- 1 thru 6 (selected),"Minor Staten Island Tribs, Lower",total area of selected tidal tribs,Atlantic Ocean/Long Island Soun,,890,I
Estuary,1701-0189,(MW1.2)  SI- 7a thru 7e,"Minor Staten Island Tribs, Lower",total area of selected tidal tribs,Atlantic Ocean/Long Island Soun,,890,SD
Estuary,1701-0194,(MW8.5a) JB-241 thru 249 (selected,Minor Tidal Tribs to Jamaica Bay,total area of all selected tribs,Atlantic Ocean/Long Island Soun,,891,I
Estuary,1701-0203,(MW8.2a) EB-224 thru 227 (selected),LI Tidal Tribs to East Bay,total area of selected tidal tribs to bay,Atlantic Ocean/Long Island Soun,,885,SC
Estuary,1701-0213,"(MW8.3a) MDB-SC,232a",Shell Creek and Barnums Channel,tidal portions of both streams/channels,Atlantic Ocean/Long Island Soun,,885,SB
Estuary,1701-0217,(MW8.3)  MDB-ERI,East Rockaway Inlet,"channel, west of Atlantic Beach Blvd",Atlantic Ocean/Long Island Soun,,891,SA
Estuary,1701-0219,(MW8.4a) HB-236,Woodmere Channel,entire channel,Atlantic Ocean/Long Island Soun,,885,SA
Estuary,1701-0226,(MW8.6)  JB,"Jamaica Bay, Western, and tribs (Brklyn)",portion of bay and selected tidal tribs within Brooklyn,Atlantic Ocean/Long Island Soun,,891,SB
Estuary,1701-0228,(MW6.1a) GB- 76-P395,Dam Pond,entire tidal waterbody,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0229,(MW6.1a) GB- 77a-P396,Marion Lake,entire tidal waterbody,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0012,(MW1.2)  SI- 8 (portion 1),Fresh Kills,reach fr mouth to Richmond/Main Cr confluence (tidal),Atlantic Ocean/Long Island Soun,,890,SD
Estuary,1701-0232,(MW6.1b) GB-SIS- 79,"SI Sound Trib/Moores Drain, Lower, tribs",tidal portion of stream and tribs,Atlantic Ocean/Long Island Soun,,924,SC
